日付,始値,高値,安値,終値,出来高,売買代金
2012-12-28,119000.00,120400.00,117500.00,119900.00,46537,5554365700
2012-12-27,117900.00,119300.00,117000.00,118400.00,42123,4992110500
2012-12-26,114600.00,116300.00,114300.00,116100.00,32615,3766968000
2012-12-25,115300.00,115400.00,113300.00,114300.00,29350,3351799300
2012-12-21,116200.00,116700.00,110600.00,112800.00,70863,8011564300
2012-12-20,112300.00,113000.00,109000.00,112400.00,70334,7833241000
2012-12-19,108000.00,113400.00,107200.00,113200.00,98843,10928341800
2012-12-18,101300.00,104400.00,100300.00,103800.00,73852,7580683100
2012-12-17,99900.00,101300.00,99500.00,99900.00,73247,7341460000
2012-12-14,95500.00,97500.00,95500.00,97200.00,57208,5524586800
2012-12-13,95600.00,98000.00,94900.00,96600.00,63027,6072242600
2012-12-12,95100.00,95200.00,94000.00,94300.00,18236,1724199100
2012-12-11,94900.00,94900.00,93200.00,94600.00,21167,1993179300
2012-12-10,96000.00,96800.00,94200.00,94800.00,32233,3064382300
2012-12-07,94800.00,96000.00,94500.00,95600.00,40955,3908932000
2012-12-06,94800.00,95300.00,93700.00,94500.00,30054,2838971400
2012-12-05,93400.00,94700.00,93100.00,94100.00,34406,3232814200
2012-12-04,93400.00,94500.00,92800.00,94200.00,26698,2510081600
2012-12-03,94700.00,95000.00,93400.00,93400.00,29203,2743324700
2012-11-30,93900.00,94800.00,92900.00,93400.00,44923,4221758900
2012-11-29,94800.00,94800.00,93200.00,93600.00,31202,2925736200
2012-11-28,96000.00,96100.00,93600.00,93600.00,36045,3402277300
2012-11-27,96700.00,97600.00,96100.00,96700.00,48598,4715973500
2012-11-26,98400.00,99000.00,96900.00,97100.00,37719,3693188800
2012-11-22,97500.00,97800.00,96600.00,97700.00,32747,3188066000
2012-11-21,97000.00,97800.00,95000.00,96100.00,42661,4101154700
2012-11-20,96700.00,96900.00,94800.00,95900.00,46714,4487624900
2012-11-19,97000.00,97000.00,95300.00,95400.00,40863,3922394000
2012-11-16,93000.00,95700.00,92700.00,95400.00,102165,9663692800
2012-11-15,90000.00,93000.00,89900.00,92700.00,67514,6196389900
2012-11-14,86900.00,87200.00,86500.00,86500.00,34177,2962482700
2012-11-13,86700.00,87500.00,86000.00,86800.00,28218,2441975700
2012-11-12,86500.00,87200.00,86000.00,86400.00,26119,2264279800
2012-11-09,87000.00,87900.00,86100.00,87300.00,30959,2693587200
2012-11-08,89000.00,89300.00,87600.00,88100.00,33912,2992890700
2012-11-07,90200.00,91000.00,89600.00,90700.00,29256,2642244000
2012-11-06,89800.00,90700.00,89200.00,90100.00,21232,1909615100
2012-11-05,91600.00,92300.00,89900.00,90300.00,23161,2101248300
2012-11-02,93000.00,93800.00,92200.00,92400.00,32318,3000571600
2012-11-01,91800.00,92500.00,91000.00,91600.00,24495,2247035700
2012-10-31,90400.00,92600.00,90000.00,92000.00,47046,4310835900
2012-10-30,90700.00,91800.00,89000.00,89000.00,38472,3476737700
