日付,始値,高値,安値,終値,出来高,売買代金
2015-12-30,2050.50,2066.00,2030.50,2035.00,2484500,5079148500
2015-12-29,2025.00,2055.00,2019.00,2044.50,2716600,5538518050
2015-12-28,2012.00,2037.50,1999.00,2024.50,2311100,4670633250
2015-12-25,2006.00,2029.00,2003.00,2011.00,2302800,4640469900
2015-12-24,2020.00,2025.00,2000.00,2006.00,3011900,6061090000
2015-12-22,2011.50,2026.50,1990.50,2010.50,3297700,6616215000
2015-12-21,1995.00,2019.50,1964.00,2004.50,5828600,11595460950
2015-12-18,2101.00,2152.50,1991.50,2024.00,9638200,19815420200
2015-12-17,2151.00,2165.00,2096.00,2106.00,6866400,14635246500
2015-12-16,2060.00,2115.00,2040.00,2079.50,9318300,19416455600
2015-12-15,2015.50,2028.50,1978.50,1986.50,4982100,9966720350
2015-12-14,1990.00,2019.00,1965.00,2014.50,7492700,14903760050
2015-12-11,2016.00,2048.50,2015.50,2040.00,4265300,8650215050
2015-12-10,2011.50,2058.50,2003.00,2042.00,4506100,9170544900
2015-12-09,2080.50,2081.00,2010.00,2042.00,7692300,15715918300
2015-12-08,2146.00,2159.50,2109.00,2114.00,3738800,7951169050
2015-12-07,2140.00,2145.00,2111.00,2125.50,3791000,8072837450
2015-12-04,2091.00,2142.00,2089.00,2122.50,4560900,9642814050
2015-12-03,2158.50,2163.00,2137.50,2156.00,4939400,10624930950
2015-12-02,2159.00,2210.00,2145.50,2149.00,6756400,14628425100
2015-12-01,2134.00,2183.00,2128.00,2159.50,5435800,11699474650
2015-11-30,2175.50,2180.00,2121.50,2130.00,6246100,13344955100
2015-11-27,2190.00,2213.50,2186.50,2194.00,2770200,6091589350
2015-11-26,2191.00,2215.00,2190.00,2201.00,3669000,8085955350
2015-11-25,2195.00,2196.00,2159.50,2173.00,3555800,7733919550
2015-11-24,2233.50,2241.50,2198.00,2201.50,4641400,10239887650
2015-11-20,2252.50,2252.50,2205.00,2237.50,5535000,12309015200
2015-11-19,2268.00,2273.00,2230.50,2254.50,4175700,9403669350
2015-11-18,2289.00,2300.00,2219.00,2228.50,4892000,10990215000
2015-11-17,2307.50,2326.00,2263.00,2265.50,4330500,9872875750
2015-11-16,2201.00,2277.50,2194.50,2267.00,5971800,13433808900
2015-11-13,2301.50,2324.50,2290.50,2316.50,3709900,8571995900
2015-11-12,2339.00,2347.50,2321.00,2339.50,3051700,7134630950
2015-11-11,2332.00,2352.50,2325.50,2342.50,4038500,9451728550
2015-11-10,2313.50,2353.50,2312.00,2351.50,5294400,12383765550
2015-11-09,2327.50,2372.00,2300.50,2342.50,9878900,23159535450
2015-11-06,2246.50,2250.00,2221.00,2228.00,4039000,9027820150
2015-11-05,2195.50,2237.00,2192.50,2221.00,6926900,15366507400
2015-11-04,2144.50,2207.00,2132.00,2181.00,7437800,16219680850
2015-11-02,2116.00,2117.50,2072.00,2094.50,4435200,9266292950
2015-10-30,2084.00,2153.00,2076.00,2115.00,6477300,13686853800
2015-10-29,2131.00,2131.00,2071.50,2085.00,4466100,9350689450
2015-10-28,2085.00,2105.00,2065.00,2081.00,3280300,6820113850
2015-10-27,2142.50,2142.50,2076.50,2086.50,4185900,8788695750
